symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	expressionAtlas	impc
NOD2	0.8478142882306459	0.8588080964977179	0.796881794134767	0.8947318257571876	0.9176140716135052	No data	0.7599134970145264	0.9922618426290432	No data	No data	0.1384615637209791	0.44197286682445364
IL10RA	0.7465009705487327	No data	No data	0.9191986192098088	0.9360722249447112	No data	0.607930797611621	0.9190679877429972	0.607930797611621	No data	0.06033086779867074	0.8753026343414111
IL10RB	0.6817642527733345	No data	No data	0.9239580284256436	0.9360722249447112	No data	0.7599134970145264	No data	0.607930797611621	No data	No data	0.33813110963158366
INAVA	0.5894839242530053	0.7306319087979738	No data	0.24317231904464845	No data	No data	0.607930797611621	0.607930797611621	No data	No data	0.018284697390903656	0.5242459823445937
IL23R	0.570242789265554	0.7853166386949699	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	0.031803747309783435	No data
ADAM17	0.551879976343631	No data	No data	0.8867538587177661	0.8274613634158176	No data	No data	No data	0.607930797611621	No data	No data	0.4209359281821015
TNFSF15	0.549154550852011	0.887225145959476	No data	No data	No data	No data	No data	No data	No data	No data	0.04119294695928791	0.3035398472474824
EGFR	0.5379217643129307	No data	No data	0.7314890707883946	0.607930797611621	No data	No data	0.607930797611621	0.607930797611621	No data	0.061590871593173994	No data
HSPA1L	0.515486639591613	No data	No data	0.8479363796287446	No data	No data	No data	No data	No data	No data	No data	No data
RIPK1	0.515486639591613	No data	No data	0.8479363796287446	No data	No data	No data	No data	No data	No data	No data	No data
BACH2	0.5144956826803961	0.8225453114683992	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	0.07926855971647954	0.43998991477141075
TGFB1	0.5134415341010165	No data	No data	0.8159951130941984	No data	No data	No data	No data	No data	No data	0.06047481175667945	0.5446667717602846
SMAD3	0.5090837969843758	0.8239354829064531	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2693741364217093
CARD8	0.5087882666159393	No data	No data	0.6173874989078019	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data
ANKRD55	0.5071073620544704	0.8333408315335463	No data	No data	No data	No data	No data	No data	No data	No data	0.01624545622265037	No data
PTPN2	0.499052130266788	0.8071788219565941	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.27448075512164694
PUS10	0.4988802168757446	0.8206200752383269	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IRGM	0.4985107686197608	0.6051539341512099	No data	0.547137717850459	No data	No data	0.607930797611621	No data	No data	No data	No data	No data
C1orf141	0.49841153231032753	0.8198491247168886	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IAH1	0.4948091774531392	No data	No data	0.8139235245147918	No data	No data	No data	No data	No data	No data	No data	No data
CDKAL1	0.4947122648263034	0.8122501961697355	No data	No data	No data	No data	No data	No data	No data	No data	0.030278288655756606	No data
NR5A2	0.4940726901586169	0.7832292864335523	No data	No data	No data	No data	No data	No data	No data	No data	0.020826266828864317	0.5803993295196944
IL21	0.4915278077819095	0.4525679093186267	No data	0.5971231389874144	0.6839221473130737	No data	0.607930797611621	No data	0.607930797611621	No data	0.08232119632769774	No data
GPR65	0.4883311791310143	0.8014871692506862	No data	No data	No data	No data	No data	No data	No data	No data	0.035610798374318665	No data
SYK	0.487836134469587	0.042867733621666446	No data	0.7828932811642456	No data	No data	No data	No data	No data	No data	No data	0.29594071227733715
TET2	0.48516566566839375	0.7853184503727076	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2548445903587916
LRRK2	0.4832092716005403	0.7888329415410279	No data	No data	No data	No data	No data	No data	No data	No data	0.12019237326140238	No data
OSMR	0.4825220513971984	0.7811462916887965	No data	No data	No data	No data	No data	No data	No data	No data	0.25131686927131547	No data
CUL2	0.4792535141952549	0.7883356396453333	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NKX2-3	0.4789199306762303	0.7740993581783434	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.27375123816451297
IRF8	0.47864717412229085	0.7736537340123523	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2736904450847518
GALC	0.47836117822291396	0.7862301791326479	No data	No data	No data	No data	No data	No data	No data	No data	0.012752711920451056	No data
IRF5	0.47830839548957876	0.6347982917373854	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data
CD226	0.47736695385049943	0.7843662997213326	No data	No data	No data	No data	No data	No data	No data	No data	0.017321828185127546	No data
SNX20	0.477020895733819	0.7833475455354527	No data	No data	No data	No data	No data	No data	No data	No data	0.026312125409264815	No data
ADCY7	0.4763777198820981	0.7829044519487777	No data	No data	No data	No data	No data	No data	No data	No data	0.014014488387896745	No data
GPR35	0.47502943012609916	0.7511947575002073	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6038516919834039
TMEM91	0.47352418881477415	No data	No data	0.7789113344398895	No data	No data	No data	No data	No data	No data	No data	No data
CD6	0.4725486311886411	0.7629125747723676	No data	No data	No data	No data	No data	No data	No data	No data	0.012915328098235809	0.28214068317155333
IL2RA	0.467778548691741	0.7363256344868098	No data	No data	No data	No data	No data	No data	No data	No data	0.15087086160284446	0.5956374484313962
RASGRP1	0.46743948494373017	0.7462341183770858	No data	No data	No data	No data	No data	No data	No data	No data	0.04928581770579995	0.43146199663824775
MAP3K8	0.46598128548686335	0.7442781303958653	No data	No data	No data	No data	No data	No data	No data	No data	0.11884685899196377	0.3916931902944875
KSR1	0.4638474221736717	0.7624138037544134	No data	No data	No data	No data	No data	No data	No data	No data	0.011599686955371932	No data
PTGER4	0.46365981591707306	0.7626851900556022	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
LACC1	0.46336426848853957	0.7621990369774976	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NFKB1	0.461530097513059	0.7323446642717566	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.536746014507336
PRKCB	0.45784888700549986	0.734544782031418	No data	No data	No data	No data	No data	No data	No data	No data	0.03541395811110169	0.3558978871917832
FCGR2A	0.4561837218179053	0.7200118063021274	No data	No data	No data	No data	No data	No data	No data	No data	0.29688772244252376	0.47556543400381185
ATG16L1	0.4553801825631491	0.5645400971000731	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data
IL12B	0.4539921648133857	0.7467826380847715	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SPRED2	0.45358517425156986	0.7461131695146402	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
